"Canonical URL","RSD Name","Author","Skill Statement","Category","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/8e654815-5822-48ab-8e44-249768941123","Re-evaluate a Point of View","Western Governors University","Re-evaluate a point of view based on new information.","Critical Thinking","Critical Thinking; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; new information; re-evaluate point of view; WGUSID: 12228; Healthy Learning Strategies; TC Disposition 5","","","15-0000","15-1200","15-1250","15-1251","","","Critical Thinking","https://skills.emsidata.com/skills/KS122J56PZMMFL1SVY1F",""
"https://osmt.wgu.edu/api/skills/f6af9188-503f-42e8-aefc-19277f5abfe0","Collaborate to Solve Challenges","Western Governors University","Collaborate with a team to solve challenging issues.","Problem Solving","Problem Solving; Troubleshooting (Problem Solving); Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 941","","","15-0000; 19-0000; 33-0000","15-1200; 15-2000; 19-4000; 33-1000; 33-3000","15-1210; 15-1220; 15-1230; 15-1240; 15-1250; 15-1290; 15-2030; 15-2090; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050","15-1211; 15-1221; 15-1231; 15-1232; 15-1241; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259; 15-2031","","","Problem Solving","https://skills.emsidata.com/skills/KS125F678LV2KB3Z5XW0",""
"https://osmt.wgu.edu/api/skills/c4e7485b-a121-4d7c-b7f5-db88ac220c90","Create a Goal Plan","Western Governors University","Create a plan to achieve identified goals.","Planning","Planning; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; goals; WGUSID: 10714","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_FOR; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_EXL","AZ-304","15-0000","15-1200","15-1210; 15-1230; 15-1240; 15-1250; 15-1290","15-1211; 15-1231; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Planning","https://skills.emsidata.com/skills/ESEB1D4619E6E83A061D",""
"https://osmt.wgu.edu/api/skills/4919a0e2-c109-4b44-8cdb-923bac28190f","Evaluate Results Against Predetermined Goals","Western Governors University","Evaluate results to determine if a plan achieved the identified goals.","Planning","Planning; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; goals; WGUSID: 10716","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_FOR; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_EXL","AZ-304","11-0000; 15-0000","11-9000; 15-1200","11-9030; 15-1210; 15-1230; 15-1240; 15-1250; 15-1290","11-9033; 11-9039; 15-1211; 15-1231; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Planning","https://skills.emsidata.com/skills/ESEB1D4619E6E83A061D",""
"https://osmt.wgu.edu/api/skills/269c16ee-47b2-441e-a885-43db6d13dbb9","Implement a Plan","Western Governors University","Implement a plan to achieve identified goals.","Planning","Planning; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; goals; WGUSID: 10715","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_FOR; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_EXL","AZ-304","15-0000","15-1200","15-1210; 15-1230; 15-1240; 15-1250; 15-1290","15-1211; 15-1231; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Planning","https://skills.emsidata.com/skills/ESEB1D4619E6E83A061D",""
"https://osmt.wgu.edu/api/skills/8c76faa3-2674-4a40-9cee-8d1e0b37ae91","Organize Project into Daily Tasks","Western Governors University","Organize each project into daily tasks.","Organizational Skills","Organizational Skills; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 10700","","","15-0000","15-1200","15-1210; 15-1230; 15-1240; 15-1250; 15-1290","15-1211; 15-1232; 15-1241; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Organizational Skills","https://skills.emsidata.com/skills/ES8B03DAD3B526316ED9",""
"https://osmt.wgu.edu/api/skills/92b66632-8fb5-4e91-afed-a9c0a6293935","Track Task Deadlines","Western Governors University","Track deadlines with a task schedule.","Organizational Skills","Organizational Skills; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 10701","","","15-0000","15-1200","15-1210; 15-1250; 15-1290","15-1211; 15-1251; 15-1256; 15-1257; 15-1259","","","Organizational Skills","https://skills.emsidata.com/skills/ES8B03DAD3B526316ED9",""
"https://osmt.wgu.edu/api/skills/43418b8f-476c-4ff5-acac-4fe2e5d356be","Schedule Due Dates","Western Governors University","Schedule due dates for task completion.","Organizational Skills","Organizational Skills; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; task schedule; due dates; WGUSID: 12330","","","15-0000","15-1200","15-1250","15-1251","","","Organizational Skills","https://skills.emsidata.com/skills/ES8B03DAD3B526316ED9",""
"https://osmt.wgu.edu/api/skills/6314c999-cd7c-4fdc-8103-9d2448237a41","Define Productivity Processes","Western Governors University","Define processes to facilitate the productivity of multiple people.","Teamwork","Team Oriented; Teamwork; Team Building; Team Management; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 1825","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_OM_NET; NICE_OM_ADM; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS","","15-0000; 33-0000","15-1200; 15-2000; 33-1000; 33-3000","15-1220; 15-1240; 15-1250; 15-2030; 15-2090; 33-1010; 33-3020; 33-3050","15-1221; 15-1251; 15-1256; 15-1257; 15-2031","","","Teamwork","https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB",""
"https://osmt.wgu.edu/api/skills/c940edd3-422d-4ab9-83f8-029be1136c91","Work with a Team","Western Governors University","Work with team members to complete goals.","Teamwork","Teamwork; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 10824","","","15-0000","15-1200","15-1230; 15-1240; 15-1250; 15-1290","15-1231; 15-1241; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259","","","Teamwork","https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB",""
